area_era_m2,id_building,temperature_cooling_supply_C,temperature_cooling_return_C,temperature_heating_supply_C,temperature_heating_return_C,area_facade_m2,area_roof_solar_m2,temperature_interior_C,ratio,status,id_class,thermal_specific_capacity_Wh_m2_K,thermal_transmittance_signature_kW_m2_K,height_m,x,y,geometry
18000,1,7,12,75,55,25932,330,23,0.875/0.125,"['existing', 'existing']",VIII/XII,119.4,0.0009,24.65,1835596.781200,840190.547968,"POLYGON ((2592821.7250000015 1120150.0480000004, 2592808.3049999997 1120182.7630000003, 2592819.164000001 1120187.2159999982, 2592832.585000001 1120154.5029999986, 2592821.7250000015 1120150.0480000004))"
1459.42,2,7,12,75,55,1235,800,23,1.0,['existing'],VIII,119.4,0.002,11,1835596.781200,840190.547968,"POLYGON ((2592371.1849999987 1120317.0940000005, 2592370.8779999986 1120324.2540000007, 2592378.6680000015 1120324.5890000015, 2592378.7399999984 1120322.9090000018, 2592386.625 1120323.2490000017, 2592386.8610000014 1120317.7679999992, 2592387.1559999995 1120310.8900000006, 2592379.886 1120310.5760000013, 2592379.8139999993 1120312.256000001, 2592371.409000002 1120311.8949999996, 2592371.1849999987 1120317.0940000005))"
3269.87,3,7,12,75,55,6424,220,23,0.7/0.3,"['existing', 'existing']",I/III,119.4,0.0009,19.5,1835596.781200,840190.547968,"POLYGON ((2592468.375 1120381.5989999995, 2592469.772999998 1120376.1950000003, 2592471.1609999985 1120370.8299999982, 2592461.154599998 1120368.2410000004, 2592461.4299999997 1120367.175999999, 2592456.153999999 1120365.8110000007, 2592450.6149999984 1120364.3790000007, 2592447.1730000004 1120377.6860000007, 2592452.710999999 1120379.118999999, 2592457.9880000018 1120380.484000001, 2592458.3691999987 1120379.0100999996, 2592468.375 1120381.5989999995))"
