Grid,Cost_demand_cst,Cost_supply_cst,Cost_connection,Grids_flowrate_in,Grids_flowrate_out,GWP_demand_cst,GWP_supply_cst,CCEQL_supply_cst,CCEQL_demand_cst,CCEQS_supply_cst,CCEQS_demand_cst,CCHHL_supply_cst,CCHHL_demand_cst,CCHHS_supply_cst,CCHHS_demand_cst,MAL_supply_cst,MAL_demand_cst,MAS_supply_cst,MAS_demand_cst,PCOX_supply_cst,PCOX_demand_cst,FWEXS_supply_cst,FWEXS_demand_cst,HTXCS_supply_cst,HTXCS_demand_cst,HTXNCS_supply_cst,HTXNCS_demand_cst,FWEXL_supply_cst,FWEXL_demand_cst,HTXCL_supply_cst,HTXCL_demand_cst,HTXNCL_supply_cst,HTXNCL_demand_cst,MEU_supply_cst,MEU_demand_cst,OLD_supply_cst,OLD_demand_cst,FWA_supply_cst,FWA_demand_cst,PMF_supply_cst,PMF_demand_cst,TRA_supply_cst,TRA_demand_cst,FWEU_supply_cst,FWEU_demand_cst,IREQ_supply_cst,IREQ_demand_cst,IRHH_supply_cst,IRHH_demand_cst,LOBDV_supply_cst,LOBDV_demand_cst,LTBDV_supply_cst,LTBDV_demand_cst,TPW_supply_cst,TPW_demand_cst,WAVFWES_supply_cst,WAVFWES_demand_cst,WAVHH_supply_cst,WAVHH_demand_cst,WAVTES_supply_cst,WAVTES_demand_cst,TTHH_supply_cst,TTHH_demand_cst,TTEQ_supply_cst,TTEQ_demand_cst
Electricity,0.1746,0.3346,0,1,1,0.13,0.13,24.717381779973877,0.0,8.168309756691922,0.0,0.00011249251010201744,0.0,3.776350868516195e-05,0.0,5.527236040176618,0.0,0.6010851995494615,0.0,5.283642251999857e-09,0.0,1.303790071003392,0.0,4.207135180331725e-05,0.0,2.5422584818552815e-05,0.0,14.088271298778636,0.0,8.386358900234942e-07,0.0,2.5415797456164322e-05,0.0,0.05295014201045914,0.0,9.012201920680238e-09,0.0,0.5093308085068126,0.0,2.5049763695346566e-05,0.0,3.3535243275815225,0.0,0.0034564398545243943,0.0,3.3682728564282413e-07,0.0,4.716281237549023e-06,0.0,2.6298349996193466,0.0,1.3384881874215988,0.0,0.0008168153154943483,0.0,0.0033031670732290228,0.0,0.001243274242285295,0.0,0.0010501356967224013,0.0,0.0015170589712644282,0.0,62.298829242641965,0.0
NaturalGas,0.0,0.14,0,0,1,0.0,0.23,17.012856631917682,0.0,10.413549354875533,0.0,7.714794221474581e-05,0.0,4.81331974337883e-05,0.0,4.009792524984253,0.0,0.4353914126745615,0.0,6.273304760140124e-09,0.0,0.5170569458427235,0.0,6.173109514195754e-06,0.0,1.084812860681465e-06,0.0,0.7792584631045305,0.0,6.93758435370917e-08,0.0,2.063052085804251e-06,0.0,0.022980671873972285,0.0,9.613437515656242e-08,0.0,0.2553080516159344,0.0,8.355506495200877e-06,0.0,1.6685179065209417,0.0,0.001148952987416495,0.0,1.1436488209403352e-09,0.0,1.1129725559630153e-08,0.0,0.1057880743006216,0.0,2.409860085243785,0.0,7.47000086885135e-06,0.0,1.8694884488542094e-05,0.0,6.635691487544152e-06,0.0,0.00019544705581789223,0.0,0.00014977622495934888,0.0,37.63173042082017,0.0
Oil,0.0,0.14,0,0,1,0.0,0.28,22.191301660467364,0.0,6.978499351601634,0.0,0.00010101942019138088,0.0,3.225261890908711e-05,0.0,5.340516498616341,0.0,0.5799514618534478,0.0,1.1030444453756077e-08,0.0,3.3456031645969166,0.0,5.066107726066575e-06,0.0,3.1435928850647525e-06,0.0,3.175500899730897,0.0,1.8743911139253055e-07,0.0,4.368224808377658e-06,0.0,0.0533568114222838,0.0,1.4421051679426262e-07,0.0,0.7653878202116277,0.0,2.886386408244524e-05,0.0,4.867303277804475,0.0,0.130121458316266,0.0,7.016993535725788e-08,0.0,3.9458190855817885e-07,0.0,0.3384447763711697,0.0,12.975119362395988,0.0,3.9204602576510125e-05,0.0,5.001033420577803e-05,0.0,1.834410358169252e-05,0.0,0.00031237357202986663,0.0,0.0001937951938258206,0.0,60.741507674020255,0.0
Wood,0.0,0.11,0,0,1,0.0,0.1,8.42847634811682,0.0,2.5986579723103316,0.0,3.837190757789575e-05,0.0,1.2010529743846335e-05,0.0,2.0163635761735055,0.0,0.2203521991602237,0.0,4.8977079655780995e-09,0.0,0.20933755389498343,0.0,3.4457013058342142e-06,0.0,1.731408957982489e-06,0.0,2.347296429215885,0.0,7.415028949370114e-08,0.0,2.4883890136390106e-06,0.0,0.04533559172680954,0.0,4.470895537692924e-09,0.0,0.14828568161075817,0.0,2.2850120712349845e-05,0.0,1.0612346548764346,0.0,0.010519378621730156,0.0,5.3523446570566815e-09,0.0,8.063598246694661e-08,0.0,37.10720047487889,0.0,1.6018545086519356,0.0,5.9169147289311846e-05,0.0,0.0001023467050532935,0.0,3.700329452846466e-05,0.0,0.00042644561894877343,0.0,0.0001180655067283937,0.0,55.7955022509974,0.0
Data,2.35,2.35,0,1,0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydrogen,0.0,0.45,0,1,1,0.0,0.4,27.810611772990576,0.0,8.564337132630218,0.0,0.00012661025348868833,0.0,3.958184169180157e-05,0.0,6.6971737797019015,0.0,0.7271506913743278,0.0,1.0892040841518187e-08,0.0,3.2200793387083313,0.0,4.183304171141891e-06,0.0,3.580037556811335e-06,0.0,2.787181971080187,0.0,2.557291991136814e-07,0.0,5.0164005299624095e-06,0.0,0.047284081091039855,0.0,1.4288465524143127e-07,0.0,0.9736425337785549,0.0,3.7756705032120666e-05,0.0,6.086890273903586,0.0,0.1287972059839886,0.0,7.099231065351403e-08,0.0,3.9300279724494157e-07,0.0,0.20147492273704481,0.0,12.623039493720764,0.0,4.6239978057028646e-05,0.0,2.1181463694662185e-05,0.0,7.344174593765565e-06,0.0,0.00023874325473732596,0.0,0.0002248752252051103,0.0,69.86796880307837,0.0
Biogas,0.0,0.2,0,0,1,0.0,0.214,7.675884156058426,0.0,8.486625885566031,0.0,3.4570378001009016e-05,0.0,3.93029421488784e-05,0.0,1.558634879504009,0.0,0.16944860233453976,0.0,1.8732475266198016e-09,0.0,0.15272964079596335,0.0,2.809689587316963e-06,0.0,1.3152334659188873e-06,0.0,1.4918681582661193,0.0,4.814950205793468e-08,0.0,1.6197516410571222e-06,0.0,0.07794301290533263,0.0,4.476178507590016e-09,0.0,0.22861607689636093,0.0,3.308730847783085e-05,0.0,2.5352385998375078,0.0,0.004925909878168279,0.0,5.289230251035009e-09,0.0,5.63178972856096e-08,0.0,2.0639122267212935,0.0,0.906005610120755,0.0,1.0191537529621279e-05,0.0,3.6931929680931633e-05,0.0,1.3846196438261644e-05,0.0,6.532027812111332e-05,0.0,0.000126662316137374,0.0,25.35194487553913,0.0
Heat,0.01,0.15,0,1,1,0.0,0.23,5.851902736638936,0.0,3.5663751437247355,0.0,2.6534395725463744e-05,0.0,1.6503575939423575e-05,0.0,1.356656484230371,0.0,0.14694090487287673,0.0,1.6054414351932452e-09,0.0,0.1554652126252786,0.0,7.674018743368097e-06,0.0,2.41440149960669e-06,0.0,3.466431659165448,0.0,7.681894063148186e-08,0.0,2.409076965881888e-06,0.0,1.7283642927999878,0.0,5.07211547766835e-09,0.0,0.1399979123324011,0.0,6.543741951807966e-06,0.0,0.9200533730954571,0.0,0.0016422032397632668,0.0,5.1684488722985695e-09,0.0,6.184768056781698e-08,0.0,0.9299455438665416,0.0,3.243729992885649,0.0,1.5591584889847086e-05,0.0,4.9507836847478316e-05,0.0,1.8294513211011026e-05,0.0,0.00031507471768861653,0.0,8.051906824147499e-05,0.0,21.507885525876368,0.0
