Unit,ref_unit,Units_Fmin,Units_Fmax,Cost_inv1,Cost_inv2,lifetime,References,UnitOfType,UnitOfLayer,UnitOfService,StreamsOfUnit,Units_flowrate_in,Units_flowrate_out,HP_parameters,stream_Tin,stream_Tout,GWP_unit1,GWP_unit2,CCEQL_1,CCEQL_2,CCEQS_1,CCEQS_2,CCHHL_1,CCHHL_2,CCHHS_1,CCHHS_2,MAL_1,MAL_2,MAS_1,MAS_2,PCOX_1,PCOX_2,FWEXS_1,FWEXS_2,HTXCS_1,HTXCS_2,HTXNCS_1,HTXNCS_2,FWEXL_1,FWEXL_2,HTXCL_1,HTXCL_2,HTXNCL_1,HTXNCL_2,MEU_1,MEU_2,OLD_1,OLD_2,FWA_1,FWA_2,PMF_1,PMF_2,TRA_1,TRA_2,FWEU_1,FWEU_2,IREQ_1,IREQ_2,IRHH_1,IRHH_2,LOBDV_1,LOBDV_2,LTBDV_1,LTBDV_2,TPW_1,TPW_2,WAVFWES_1,WAVFWES_2,WAVHH_1,WAVHH_2,WAVTES_1,WAVTES_2,TTHH_1,TTHH_2,TTEQ_1,TTEQ_2
NG_Boiler,kWth,0.1,100000,4232.0,57.0,20,`Vaillant.ch <https://www.vaillant.ch/downloads/preisliste/franzoesisch-3/liste-de-prix-chaudires-murales-gaz-systmes-dvacuation-de-gaz-brls-prtirage-04-2021-2041428.pdf>`_,NG_Boiler,NaturalGas/ HeatCascade,DHW/ SH,h_ht,NaturalGas,,,80,60,253.27,11.62,136.46354776314837,28699.927224839128,38.72530389561923,9014.012390421693,0.000621458017243105,0.13065083423772383,0.00017896982820153251,0.041659078875976516,32.98984940683793,6866.041488425835,3.5814471972402946,749.5511917232172,3.269660030858997e-09,9.147591285960567e-06,0.27968701456437134,1858.1099506618361,9.423381634916267e-07,0.15423868372431612,1.0205706977461438e-06,0.059416831665735796,0.6170497296140537,19450.5298599324,4.480648868966733e-08,0.001637556276486709,1.2879214733928385e-06,0.05550559232192476,0.020997458518304375,84.92972269844465,5.28011657019521e-10,6.80636540215075e-06,0.11326246592444865,884.50947804972,7.2186552295943284e-06,0.05120458064109917,0.807590559982734,5606.177210761153,0.00023501060191772464,5.995092477648834,1.4898058444121877e-09,5.975887085047849e-06,1.9919389764246226e-08,7.502921895854176e-05,0.07548028604520568,1176.8833823923364,0.14143813365596514,2380.6904415654117,1.973303656026201e-05,0.08222376162351679,1.557111981886836e-05,0.1717970525429768,5.555914931660131e-06,0.06370179615725613,0.0002017001847663588,1.6220742819183416,0.0008165217694149177,0.558105941674164,213.8161250790797,76779.23307847983
OIL_Boiler,kWth,0.1,100000,4516.0,162.0,20,`Vaillant.ch <https://www.vaillant.ch/downloads/preisliste/franzoesisch-3/liste-de-prix-chaudires-murales-gaz-systmes-dvacuation-de-gaz-brls-prtirage-04-2021-2041428.pdf>`_,OIL_Boiler,Oil/ HeatCascade,DHW/ SH,h_ht,Oil,,,80,60,253.27,11.62,179.7074513079728,23785.545095272726,50.81082445741259,7487.728482210811,0.0008184025831615387,0.10827827774645643,0.00023482313088449348,0.034605176157519776,43.4528204280467,5683.9895512420235,4.717225919678634,621.0384802783353,5.320756330893421e-09,8.266287439105078e-06,0.09692723601762965,1506.8328124240115,9.613506613616547e-06,0.15388305959939647,4.5768692006047225e-06,0.058723760291511454,1.353557634747927,18740.9520529588,3.29390984688995e-07,0.0016070768207080606,9.789196058813257e-06,0.05459708030209002,0.03431552123742031,79.69945278940594,4.355851419091634e-10,6.290279150742912e-06,0.5676619317968075,811.6297925287759,2.2111456849915807e-05,0.04417914643227402,3.592068115157551,5137.127565847734,0.00036999322685552015,5.827659812372295,4.894479527023486e-09,7.2370871951412325e-06,6.801538882172501e-08,9.253554193064016e-05,0.09230854503782228,1073.3605410501034,0.16061865956916616,2214.2498655670015,1.4357541148854709e-05,0.06731493897604669,5.4844076684178944e-05,0.1848109144667598,2.059187512068293e-05,0.06809719758187338,6.97938316397229e-05,1.384518712537897,0.0011203117815480545,0.5240778716241512,284.58628754194854,67149.61761922819
WOOD_Stove,kWth,0.1,100000,14643.0,156.0,20,`Vaillant.ch <https://www.vaillant.ch/downloads/preisliste/franzoesisch-3/liste-de-prix-chaudires-murales-gaz-systmes-dvacuation-de-gaz-brls-prtirage-04-2021-2041428.pdf>`_,WOOD_Stove,Wood /HeatCascade,SH,h_ht,Wood,,,80,60,253.27,11.62,1.287031118724562,85216.72432077468,1.1369368576134247,24929.926766356402,5.8102499755071334e-06,0.3880347336173299,5.270274307121043e-06,0.11521337474672581,0.11063315581222855,20562.552580668675,0.012031321270668072,2232.6536811094425,4.265488595808671e-08,1.928573799673508e-05,0.06193662110089874,1651.1942385481077,1.3324461486673873e-06,0.1519736851748576,2.4444017950807304e-06,0.02158597993534472,0.5019869319343279,12899.492567134288,2.5309081247515666e-07,0.0010059624104532148,9.774812788832349e-06,0.03177577724141037,0.242330433818458,135.4933901580573,1.8038823239219396e-10,2.245341838165445e-05,0.7447449823687986,815.6454902350694,0.0007075289728948691,0.05903059278532739,6.098753513624052,5599.060138588223,6.918409964792754e-05,20.53548457000679,6.74193490262849e-09,2.4107812243829143e-05,9.440108459550864e-08,0.00026157218744583263,0.05263877698699519,11463.127958847896,0.02679117937346431,155380.63248865452,1.6349375241447807e-05,0.08765711109215762,6.611619167893289e-05,0.9469795970370143,2.4885377060781567e-05,0.3498461879114778,2.101951595969129e-05,3.5384475020030237,0.0007574368614041065,1.1187696111040248,10.275987538631902,320911.6114895743
HeatPump_Air,kWe,0.1,100000,19930.0,1240.0,20,`IAS engineering <https://ias-engineering.ch/pac/prix-dune-pompe-a-chaleur-en-suisse/>`_,HeatPump,HeatCascade/ Electricity,DHW/ SH,h_ht/ h_mt/ h_lt,Electricity,,HP_parameters.txt,55/ 45/ 35,50/40/30,0.0001,138.05,0.41616103519974446,29988.773017203526,3.9875576354002567,28264.553684428924,1.6668821698775506e-06,0.13540397002282414,1.8482264403489636e-05,0.1308901649210208,0.012875264777301727,6712.9788276182435,0.0013985504703992642,729.5070697022496,2.063383923215252e-11,1.4216611048987777e-05,0.0017844598983723999,2369.6904153194396,2.2157195377623766e-08,0.09823360127110217,2.6994098796104448e-08,0.21068547672904897,0.008973407804104341,56251.6291686275,1.331880100399749e-09,0.005070645826418343,4.1192958208507037e-08,0.17542827791165716,0.00022997717206345175,108.82271087176356,2.5143510284327205e-08,0.0005485323036007215,0.0013783922850078428,2339.4418520799454,8.283785279203977e-08,0.08853116187525223,0.008729793519527946,14555.959905353564,5.5749790571698866e-06,6.032107253336861,1.2039531390378056e-11,1.1692410751940318e-05,1.7084503618156792e-10,0.00014603104262025235,0.0009035662568286098,1738.3537991435546,0.0019376570636500164,4181.657192322048,3.12384409881074e-07,0.09182182912624709,5.544674235363268e-07,0.2866151871262934,1.9853206996463993e-07,0.10878169258528027,1.6073235426266616e-06,1.1935196908487888,2.0547527687866688e-05,0.953733768602827,4.441937623218199,147248.97021551276
HeatPump_Lake,kWe,0.1,100000,19930.0,1240.0,20,`IAS engineering <https://ias-engineering.ch/pac/prix-dune-pompe-a-chaleur-en-suisse/>`_,HeatPump,HeatCascade/ Electricity,DHW/ SH,h_ht/ h_mt/ h_lt,Electricity,,HP_parameters.txt,55/ 45/ 35,50/40/30,0.0001,138.05,0.41616103519974446,29988.773017203515,3.9875576354002567,28264.55368442892,1.6668821698775506e-06,0.1354039700228241,1.8482264403489636e-05,0.1308901649210208,0.012875264777301727,6712.97882761824,0.0013985504703992642,729.5070697022492,2.063383923215252e-11,1.4216611048987773e-05,0.0017844598983723999,2369.690415319439,2.2157195377623766e-08,0.09823360127110214,2.6994098796104448e-08,0.21068547672904897,0.008973407804104341,56251.62916862753,1.331880100399749e-09,0.005070645826418345,4.1192958208507037e-08,0.17542827791165724,0.00022997717206345175,108.82271087176335,2.5143510284327205e-08,0.0005485323036007215,0.0013783922850078428,2339.4418520799463,8.283785279203977e-08,0.08853116187525223,0.008729793519527946,14555.959905353571,5.5749790571698866e-06,6.032107253336827,1.2039531390378056e-11,1.1692410751940315e-05,1.7084503618156792e-10,0.00014603104262025232,0.0009035662568286098,1738.3537991435549,0.0019376570636500164,4181.657192322049,3.12384409881074e-07,0.091821829126247,5.544674235363268e-07,0.2866151871262934,1.9853206996463993e-07,0.10878169258526915,1.6073235426266616e-06,1.1935196908487882,2.0547527687866688e-05,0.9537337686028159,4.441937623218199,147248.97021551276
HeatPump_Geothermal,kWe,0.1,100000,49930.0,1240.0,20,`IAS engineering <https://ias-engineering.ch/pac/prix-dune-pompe-a-chaleur-en-suisse/>`_,HeatPump,HeatCascade/ Electricity,DHW/ SH,h_ht/ h_mt/ h_lt,Electricity,,HP_parameters.txt,55/ 45/ 35,50/40/30,0.0001,138.05,0.41616103519974446,29988.773017203515,3.9875576354002567,28264.55368442892,1.6668821698775506e-06,0.1354039700228241,1.8482264403489636e-05,0.1308901649210208,0.012875264777301727,6712.97882761824,0.0013985504703992642,729.5070697022492,2.063383923215252e-11,1.4216611048987773e-05,0.0017844598983723999,2369.690415319439,2.2157195377623766e-08,0.09823360127110214,2.6994098796104448e-08,0.21068547672904897,0.008973407804104341,56251.62916862753,1.331880100399749e-09,0.005070645826418345,4.1192958208507037e-08,0.17542827791165724,0.00022997717206345175,108.82271087176335,2.5143510284327205e-08,0.0005485323036007215,0.0013783922850078428,2339.4418520799463,8.283785279203977e-08,0.08853116187525223,0.008729793519527946,14555.959905353571,5.5749790571698866e-06,6.032107253336827,1.2039531390378056e-11,1.1692410751940315e-05,1.7084503618156792e-10,0.00014603104262025232,0.0009035662568286098,1738.3537991435549,0.0019376570636500164,4181.657192322049,3.12384409881074e-07,0.091821829126247,5.544674235363268e-07,0.2866151871262934,1.9853206996463993e-07,0.10878169258526915,1.6073235426266616e-06,1.1935196908487882,2.0547527687866688e-05,0.9537337686028159,4.441937623218199,147248.97021551276
HeatPump_DHN,kWe,0.1,100000,19930.0,1240.0,20,,HeatPump,HeatCascade/ Electricity/ Heat,DHW/ SH,h_ht/ h_mt/ h_lt,Electricity/ Heat,,HP_parameters.txt,55/ 45/ 35,50/40/30,0.0001,138.05,0.034379638346472126,35137.6271927605,0.38765519352637057,29882.731479608425,1.3426452100569497e-07,0.15884295432412557,1.796795981220743e-06,0.13836866318902805,0.0,7950.777637585553,0.0,864.1901709396998,0.0,1.516807433761111e-05,0.0,2852.0273803385835,1.9849644054293897e-10,0.09868394634401755,1.6960622012181297e-11,0.21162108797822596,0.0,56878.73316824023,0.0,0.005109251574131398,0.0,0.17659126261895416,0.0,114.71903703219598,0.0,0.0005494509132200042,0.0,2416.5263939860324,0.0,0.09636574709899066,0.0,15052.97724265301,0.0,6.2313749707527535,0.0,9.501549979005842e-06,0.0,0.00011679796601325063,0.0,1795.549568355202,0.0,4398.251393047615,0.0,0.12260610364346917,0.0,0.26446069563414604,0.0,0.10012296875749797,0.0,1.4533993837362442,1.93127596645661e-06,0.9863872962718138,0.4220348156817419,157352.18094510163
HeatPump_Anergy,kWe,0.1,100000,19930.0,1240.0,20,,HeatPump,HeatCascade/ Electricity,DHW/ SH,h_ht/ h_mt/ h_lt,Electricity,,HP_parameters.txt,55/ 45/ 35,50/40/30,0.0001,138.05,0.41616103519974446,29988.773017203515,3.9875576354002567,28264.55368442892,1.6668821698775506e-06,0.1354039700228241,1.8482264403489636e-05,0.1308901649210208,0.012875264777301727,6712.97882761824,0.0013985504703992642,729.5070697022492,2.063383923215252e-11,1.4216611048987773e-05,0.0017844598983723999,2369.690415319439,2.2157195377623766e-08,0.09823360127110214,2.6994098796104448e-08,0.21068547672904897,0.008973407804104341,56251.62916862753,1.331880100399749e-09,0.005070645826418345,4.1192958208507037e-08,0.17542827791165724,0.00022997717206345175,108.82271087176335,2.5143510284327205e-08,0.0005485323036007215,0.0013783922850078428,2339.4418520799463,8.283785279203977e-08,0.08853116187525223,0.008729793519527946,14555.959905353571,5.5749790571698866e-06,6.032107253336827,1.2039531390378056e-11,1.1692410751940315e-05,1.7084503618156792e-10,0.00014603104262025232,0.0009035662568286098,1738.3537991435549,0.0019376570636500164,4181.657192322049,3.12384409881074e-07,0.091821829126247,5.544674235363268e-07,0.2866151871262934,1.9853206996463993e-07,0.10878169258526915,1.6073235426266616e-06,1.1935196908487882,2.0547527687866688e-05,0.9537337686028159,4.441937623218199,147248.97021551276
Air_Conditioner_Air,kWe,0.1,100000,1278.0,403.0,20,`Viesmann <https://www.viessmann.ch/fr/connaissances/technique-et-systemes.html>`_,Air_Conditioner,HeatCascade/ Electricity,Cooling,c_ht/ c_mt/ c_lt,Electricity,,AC_parameters.txt,13/ 15/ 18,14/ 16/ 19,0.0001,138.05,0.41616103519974446,29988.773017203515,3.9875576354002567,28264.55368442892,1.6668821698775506e-06,0.1354039700228241,1.8482264403489636e-05,0.1308901649210208,0.012875264777301727,6712.97882761824,0.0013985504703992642,729.5070697022492,2.063383923215252e-11,1.4216611048987773e-05,0.0017844598983723999,2369.690415319439,2.2157195377623766e-08,0.09823360127110214,2.6994098796104448e-08,0.21068547672904897,0.008973407804104341,56251.62916862753,1.331880100399749e-09,0.005070645826418345,4.1192958208507037e-08,0.17542827791165724,0.00022997717206345175,108.82271087176335,2.5143510284327205e-08,0.0005485323036007215,0.0013783922850078428,2339.4418520799463,8.283785279203977e-08,0.08853116187525223,0.008729793519527946,14555.959905353571,5.5749790571698866e-06,6.032107253336827,1.2039531390378056e-11,1.1692410751940315e-05,1.7084503618156792e-10,0.00014603104262025232,0.0009035662568286098,1738.3537991435549,0.0019376570636500164,4181.657192322049,3.12384409881074e-07,0.091821829126247,5.544674235363268e-07,0.2866151871262934,1.9853206996463993e-07,0.10878169258526915,1.6073235426266616e-06,1.1935196908487882,2.0547527687866688e-05,0.9537337686028159,4.441937623218199,147248.97021551276
Air_Conditioner_DHN,kWe,0.1,100000,2989.0,186.0,20,`Viesmann <https://www.viessmann.ch/fr/connaissances/technique-et-systemes.html>`_,Air_Conditioner,HeatCascade/ Heat/ Electricity,Cooling,c_ht/ c_mt/ c_lt,Electricity,Heat,AC_parameters.txt,13/ 15/ 18,14/ 16/ 19,0.0001,13.8,0.41616103519974446,29988.773017203515,3.9875576354002567,28264.55368442892,1.6668821698775506e-06,0.1354039700228241,1.8482264403489636e-05,0.1308901649210208,0.012875264777301727,6712.97882761824,0.0013985504703992642,729.5070697022492,2.063383923215252e-11,1.4216611048987773e-05,0.0017844598983723999,2369.690415319439,2.2157195377623766e-08,0.09823360127110214,2.6994098796104448e-08,0.21068547672904897,0.008973407804104341,56251.62916862753,1.331880100399749e-09,0.005070645826418345,4.1192958208507037e-08,0.17542827791165724,0.00022997717206345175,108.82271087176335,2.5143510284327205e-08,0.0005485323036007215,0.0013783922850078428,2339.4418520799463,8.283785279203977e-08,0.08853116187525223,0.008729793519527946,14555.959905353571,5.5749790571698866e-06,6.032107253336827,1.2039531390378056e-11,1.1692410751940315e-05,1.7084503618156792e-10,0.00014603104262025232,0.0009035662568286098,1738.3537991435549,0.0019376570636500164,4181.657192322049,3.12384409881074e-07,0.091821829126247,5.544674235363268e-07,0.2866151871262934,1.9853206996463993e-07,0.10878169258526915,1.6073235426266616e-06,1.1935196908487882,2.0547527687866688e-05,0.9537337686028159,4.441937623218199,147248.97021551276
