Unit,ref_unit,Units_Fmin,Units_Fmax,Cost_inv1,Cost_inv2,lifetime,References,UnitOfType,UnitOfLayer,UnitOfService,StreamsOfUnit,Units_flowrate_in,Units_flowrate_out,HP_parameters,stream_Tin,stream_Tout,GWP_unit1,GWP_unit2,CCEQL_1,CCEQL_2,CCEQS_1,CCEQS_2,CCHHL_1,CCHHL_2,CCHHS_1,CCHHS_2,MAL_1,MAL_2,MAS_1,MAS_2,PCOX_1,PCOX_2,FWEXS_1,FWEXS_2,HTXCS_1,HTXCS_2,HTXNCS_1,HTXNCS_2,FWEXL_1,FWEXL_2,HTXCL_1,HTXCL_2,HTXNCL_1,HTXNCL_2,MEU_1,MEU_2,OLD_1,OLD_2,FWA_1,FWA_2,PMF_1,PMF_2,TRA_1,TRA_2,FWEU_1,FWEU_2,IREQ_1,IREQ_2,IRHH_1,IRHH_2,LOBDV_1,LOBDV_2,LTBDV_1,LTBDV_2,TPW_1,TPW_2,WAVFWES_1,WAVFWES_2,WAVHH_1,WAVHH_2,WAVTES_1,WAVTES_2,TTHH_1,TTHH_2,TTEQ_1,TTEQ_2
Battery_district,kWh,0.1,100000,825,1290,10,`SuisseEnergie <https://www.suisseenergie.ch/stories/batteries-solaires/>`_,Battery,Electricity,,,Electricity,Electricity,,,,0.0,65.9562,0.0,40580.34953846027,0.0,12984.496451795068,0.0,0.18471807708654733,0.0,0.0600141739491039,0.0,9582.363240883997,0.0,1042.3724461910151,0.0,1.558895523816855e-05,0.0,3875.643909651616,0.0,0.04923998375768108,0.0,0.17541402486638374,0.0,50053.1050513375,0.0,0.004317182867876328,0.0,0.14561374869953,0.0,174.77156882037744,0.0,1.59979921951366e-05,0.0,2268.2016344787176,0.0,0.0978988398227765,0.0,14215.579188501895,0.0,33.782663555616175,0.0,1.2348698422647481e-05,0.0,0.00016665690229402137,0.0,2037.6945724914606,0.0,4687.311878620041,0.0,0.1776022072550379,0.0,0.3238941790808584,0.0,0.12133768197192045,0.0,2.9756747591654644,0.0,0.8387519528428339,0.0,141539.14843299706
EV_district,-,0.1,100000,0,0,10,`TCS <https://www.tcs.ch/fr/tests-conseils/tests/comparaison-electrique-essence.php>`_,EV,Electricity,,,Electricity,Electricity,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_Cogeneration_district,kWth,0.1,100000,117351,1081,25,`Viesmann <https://www.viessmann.ch/fr/connaissances/technique-et-systemes.html>`_,NG_Cogeneration,Heat/ Electricity/ NaturalGas,,,NaturalGas,Heat/ Electricity,,60,40,200.0,100.0,331.8295777401343,470529.7915395132,99.6313036494784,145082.70501294982,0.0015108219217091737,2.142122958514128,0.0004604836493021815,0.670513902620103,79.63527645555439,112953.47634139749,8.644558317033246,12273.614724097974,3.2192857438863255e-08,0.00011536108920371609,0.012530015462930127,18648.79829751834,8.788044751362274e-08,0.9680115923548713,6.778309328289496e-08,0.25254584321811174,0.0334898638660733,143927.46087303528,2.012726282822223e-09,0.010573648927699277,5.734105842023484e-08,0.33036499720642487,0.1965836739222639,733.0216898233816,4.5873456354298457e-10,0.00011432029884023311,0.5349663383816587,9461.284003096218,1.3772068837742106e-05,0.6180156740923664,4.352417147110637,60494.561377569094,0.0004388184057156199,79.34490574544353,2.566064664823316e-10,0.0001438218649538597,2.058042107330065e-09,0.0021678552154827955,0.004294533890301225,17018.591986052783,0.042796012291481826,21739.201721208494,8.694337421661975e-07,1.739891411851504,1.0874755752099805e-06,2.1648276865929716,3.4691188313615613e-07,0.7876925837927207,2.8038889538069003e-05,17.58334146499707,0.0019856742786287305,5.782238774799575,524.9182605384786,1012963.3345813504
HeatPump_Geothermal_district,kWe,0.1,100000,75353,207,25,`Helvetia Energy <https://www.helvetia-energy.ch/cout-pompe-a-chaleur-geothermique-en-suisse/>`_,HeatPump,Heat/ Electricity,,,Electricity,Heat,HP_parameters.txt,21/ 16/ 11,20/ 15/ 10,0.0001,138.05,0.41616103519974423,29988.773017203497,3.9875576354002567,28264.553684428927,1.666882169877549e-06,0.13540397002282403,1.8482264403489636e-05,0.13089016492102085,0.012875264777301663,6712.978827618238,0.0013985504703992574,729.5070697022504,2.0633839232152407e-11,1.4216611048987777e-05,0.0017844598983723905,2369.690415319438,2.2157195377623557e-08,0.09823360127110209,2.6994098796104405e-08,0.2106854767290491,0.008973407804104303,56251.62916862752,1.3318801003997447e-09,0.00507064582641834,4.1192958208506924e-08,0.17542827791165708,0.00022997717206344812,108.82271087176308,2.514351028432716e-08,0.0005485323036007205,0.0013783922850078383,2339.4418520799445,8.283785279203947e-08,0.0885311618752522,0.008729793519527924,14555.959905353555,5.574979057169532e-06,6.03210725333676,1.2039531390377966e-11,1.1692410751940301e-05,1.708450361815607e-10,0.00014603104262024937,0.0009035662568285896,1738.353799143542,0.0019376570636503306,4181.657192322521,3.1238440988107234e-07,0.09182182912624695,5.544674235363031e-07,0.28661518712636,1.9853206996464586e-07,0.10878169258528027,1.607323542626615e-06,1.1935196908487877,2.0547527687866688e-05,0.953733768602827,4.441937623218199,147248.9702155132
NG_Boiler_district,kWth,0.1,100000,21767,65,20,`Vaillant.ch <https://www.vaillant.ch/downloads/preisliste/franzoesisch-3/liste-de-prix-chaudires-murales-gaz-systmes-dvacuation-de-gaz-brls-prtirage-04-2021-2041428.pdf>`_,NG_Boiler,NaturalGas/ Heat,,,NaturalGas,Heat,,80,60,0.0001,46.06,136.46354776314837,28699.9272248392,38.725303895619234,9014.012390421698,0.0006214580172431051,0.13065083423772414,0.00017896982820153251,0.04165907887597658,32.98984940683793,6866.04148842585,3.5814471972402955,749.551191723218,3.269660030858999e-09,9.147591285960584e-06,0.2796870145643722,1858.1099506618373,9.423381634916298e-07,0.15423868372431648,1.0205706977461464e-06,0.05941683166573586,0.6170497296140531,19450.529859932405,4.4806488689667336e-08,0.0016375562764867101,1.2879214733928393e-06,0.05550559232192478,0.020997458518304382,84.92972269844415,5.280116570195215e-10,6.8063654021507314e-06,0.11326246592444879,884.5094780497207,7.218655229594339e-06,0.05120458064109922,0.8075905599827347,5606.177210761159,0.0002350106019177224,5.995092477648408,1.4898058444121737e-09,5.9758870850478585e-06,1.9919389764245296e-08,7.502921895853845e-05,0.07548028604520586,1176.8833823923524,0.1414381336559705,2380.690441565213,1.973303656026204e-05,0.08222376162351691,1.5571119818871412e-05,0.17179705254295463,5.555914931660131e-06,0.06370179615726168,0.00020170018476635922,1.622074281918345,0.0008165217694149185,0.558105941674164,213.8161250790797,76779.23307847975
DHN_out_district,m2,0.1,100000,184,197,20,:cite:t:`suciuSystematicIntegrationEnergyOptimal2019`,DHN_direct_cooling,Heat,,,Heat,,,,,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHN_pipes_district,kW,0.01,100000,5670,613,60,:cite:t:`suciuSystematicIntegrationEnergyOptimal2019`,DHN_pipes,Heat,,,,,,,,0.0001,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
