Unit,ref_unit,Units_Fmin,Units_Fmax,Cost_inv1,Cost_inv2,lifetime,References,UnitOfType,UnitOfLayer,UnitOfService,StreamsOfUnit,Units_flowrate_in,Units_flowrate_out,HP_parameters,stream_Tin,stream_Tout,GWP_unit1,GWP_unit2,land_use_1,land_use_2,mine_res_1,mine_res_2,water_res_1,water_res_2,energy_res_1,energy_res_2,Human_toxicity_1,Human_toxicity_2,water_pollutants_1,water_pollutants_2,metals_water_1,metals_water_2,pop_water_1,pop_water_2,metals_soil_1,metals_soil_2,pollutants_pm_1,pollutants_pm_2,Metal_air_1,Metal_air_2,ozone_depletion_1,ozone_depletion_2
ThermalSolar,m2,0.1,100000,4000.0,625.0,20,`Viesmann <https://www.viessmann.ch/fr/connaissances/technique-et-systemes.html>`_,ThermalSolar,HeatCascade,DHW,h_ht,,,,62,48,0.0001,127055.91022874473,0.0001,1615.5,0.0001,88308.75,0.0001,875.91,0.0001,6126.13,0.0001,43506.25,0.0001,8997.25,0.0001,32705.0,0.0001,787.5,0.0001,507.51,0.0001,121527.5,0.0001,425437.5,0.0001,75.4
NG_Cogeneration,kWe,0.1,100000,24687.0,1570.0,20,`Viesmann <https://www.viessmann.ch/fr/connaissances/technique-et-systemes.html>`_,NG_Cogeneration,HeatCascade/ Electricity/ NaturalGas,DHW/ SH,h_ht,NaturalGas,Electricity,,60,40,560.4569451606086,815228.5565708532,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Battery,kWh,0.1,100000,825.0,1290.0,10,`SuisseEnergie <https://www.suisseenergie.ch/stories/batteries-solaires/>`_,Battery,Electricity,,,Electricity,Electricity,,,,0.0001,72230.7348879603,0.0001,1009.6352,0.0001,34297.59,0.0001,775.66,0.0001,5081.47,0.0001,433819.4,0.0001,4434.53,0.0001,33071.08,0.0001,532.95,0.0001,1189.08,0.0001,80578.68,0.0001,297402.84,0.0001,75.28
WaterTankSH,m3,0.1,100000,1421.0,1994.0,20,`Viesmann <https://www.viessmann.ch/fr/connaissances/technique-et-systemes.html>`_,WaterTankSH,HeatCascade,SH,h_ht/ c_lt,,,,35/ 35,35/ 35,0.0001,1340954.2303867326,0.0001,14995.6,0.0001,256278.2,0.0001,1689221.7,0.0001,53431.65,0.0001,410268.9,0.0001,37544.94,0.0001,346140.9,0.0001,5850.34,0.0001,5713.4,0.0001,724295.7,0.0001,301401.6,0.0001,450.43
WaterTankDHW,m3,0.0,100000,495.0,10248.0,20,`Viesmann <https://www.viessmann.ch/fr/connaissances/technique-et-systemes.html>`_,WaterTankDHW,HeatCascade,DHW,c_ht ,,,,10,60,0.0001,1340954.2303867326,0.0001,14995.6,0.0001,256278.2,0.0001,1689221.7,0.0001,53431.65,0.0001,410268.9,0.0001,37544.94,0.0001,346140.9,0.0001,5850.34,0.0001,5713.4,0.0001,724295.7,0.0001,301401.6,0.0001,450.43
DataHeat_SH,kWth,0.1,100000,1000.0,5000.0,4,,DataHeat,Electricity/ Data/ HeatCascade,SH,h_ht,Electricity,Data,,80,60,0.0001,1650.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
DataHeat_DHW,kWth,0.1,100000,1000.0,11000.0,4,,DataHeat,Electricity/ Data/ HeatCascade,DHW,h_ht,Electricity,Data,,80,60,0.0001,1650.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
DHN_hex_in,m2,0.01,100000,184.0,197.0,20,:cite:t:`suciuSystematicIntegrationEnergyOptimal2019`,DHN_hex,Heat/ HeatCascade,SH/ DHW,h_ht,Heat,,,80,60,0.0001,47222.99901574629,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
DHN_hex_out,m2,0.01,100000,184.0,197.0,20,:cite:t:`suciuSystematicIntegrationEnergyOptimal2019`,DHN_hex,Heat/ HeatCascade,Cooling,c_ht,,Heat,,18,19,14.518571794568253,142068.00984642692,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
DHN_pipes,kW,0.01,100000,0.0,0.0,60,:cite:t:`suciuSystematicIntegrationEnergyOptimal2019`,DHN_pipes,Heat,,,,,,,,0.0001,0.01,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
