Grid,Cost_demand_cst,Cost_supply_cst,Cost_connection,Grids_flowrate_in,Grids_flowrate_out,GWP_demand_cst,GWP_supply_cst,CCEQL_supply_cst,CCEQL_demand_cst,CCEQS_supply_cst,CCEQS_demand_cst,CCHHL_supply_cst,CCHHL_demand_cst,CCHHS_supply_cst,CCHHS_demand_cst,MAL_supply_cst,MAL_demand_cst,MAS_supply_cst,MAS_demand_cst,PCOX_supply_cst,PCOX_demand_cst,FWEXS_supply_cst,FWEXS_demand_cst,HTXCS_supply_cst,HTXCS_demand_cst,HTXNCS_supply_cst,HTXNCS_demand_cst,FWEXL_supply_cst,FWEXL_demand_cst,HTXCL_supply_cst,HTXCL_demand_cst,HTXNCL_supply_cst,HTXNCL_demand_cst,MEU_supply_cst,MEU_demand_cst,OLD_supply_cst,OLD_demand_cst,FWA_supply_cst,FWA_demand_cst,PMF_supply_cst,PMF_demand_cst,TRA_supply_cst,TRA_demand_cst,FWEU_supply_cst,FWEU_demand_cst,IREQ_supply_cst,IREQ_demand_cst,IRHH_supply_cst,IRHH_demand_cst,LOBDV_supply_cst,LOBDV_demand_cst,LTBDV_supply_cst,LTBDV_demand_cst,TPW_supply_cst,TPW_demand_cst,WAVFWES_supply_cst,WAVFWES_demand_cst,WAVHH_supply_cst,WAVHH_demand_cst,WAVTES_supply_cst,WAVTES_demand_cst,TTHH_supply_cst,TTHH_demand_cst,TTEQ_supply_cst,TTEQ_demand_cst
Electricity,0.1746,0.3346,0,1,1,44.99116065877818,44.99116065877818,24.717381779973902,0.0,8.168309756691931,0.0,0.00011249251010201758,0.0,3.776350868516202e-05,0.0,5.527236040176625,0.0,0.6010851995494628,0.0,5.283642251999853e-09,0.0,1.303790071003392,0.0,4.207135180331723e-05,0.0,2.542258481855281e-05,0.0,14.088271298778682,0.0,8.386358900234961e-07,0.0,2.5415797456164373e-05,0.0,0.05295014201045907,0.0,9.012201920680241e-09,0.0,0.5093308085068123,0.0,2.5049763695346552e-05,0.0,3.3535243275815203,0.0,0.0034564398545243796,0.0,3.36827285642824e-07,0.0,4.71628123754904e-06,0.0,2.6298349996193373,0.0,1.338488187421715,0.0,0.0008168153154943475,0.0,0.00330316707322989,0.0,0.001243274242285295,0.0,0.0010501356967224007,0.0,0.0015170589712644282,0.0,62.29882924264217,0.0
NaturalGas,0.0,0.14,0,0,1,0.0,53.006810879725364,17.0128566319177,0.0,10.413549354875537,0.0,7.71479422147459e-05,0.0,4.813319743378832e-05,0.0,4.009792524984258,0.0,0.4353914126745618,0.0,6.273304760140128e-09,0.0,0.5170569458427235,0.0,6.173109514195746e-06,0.0,1.0848128606814664e-06,0.0,0.7792584631045312,0.0,6.937584353709176e-08,0.0,2.0630520858042526e-06,0.0,0.022980671873972326,0.0,9.613437515656257e-08,0.0,0.2553080516159347,0.0,8.355506495200877e-06,0.0,1.668517906520943,0.0,0.0011489529874165005,0.0,1.14364882094034e-09,0.0,1.1129725559630585e-08,0.0,0.10578807430062168,0.0,2.4098600852437007,0.0,7.470000868851352e-06,0.0,1.8694884488542094e-05,0.0,6.63569148754382e-06,0.0,0.00019544705581789234,0.0,0.00014977622495934852,0.0,37.63173042082012,0.0
Oil,0.0,0.14,0,0,1,0.0,38.819117656871086,22.191301660467403,0.0,6.978499351601645,0.0,0.00010101942019138101,0.0,3.225261890908717e-05,0.0,5.340516498616348,0.0,0.5799514618534489,0.0,1.103044445375609e-08,0.0,3.345603164596925,0.0,5.066107726066559e-06,0.0,3.143592885064749e-06,0.0,3.1755008997308987,0.0,1.8743911139253065e-07,0.0,4.368224808377657e-06,0.0,0.053356811422283844,0.0,1.4421051679426275e-07,0.0,0.7653878202116284,0.0,2.886386408244527e-05,0.0,4.867303277804479,0.0,0.13012145831626618,0.0,7.016993535725804e-08,0.0,3.945819085581802e-07,0.0,0.33844477637117004,0.0,12.975119362396176,0.0,3.920460257651022e-05,0.0,5.001033420577803e-05,0.0,1.8344103581694812e-05,0.0,0.000312373572029867,0.0,0.0001937951938258229,0.0,60.74150767402052,0.0
Wood,0.0,0.11,0,0,1,0.0,14.785295176470337,8.428476348116826,0.0,2.5986579723103236,0.0,3.8371907577895774e-05,0.0,1.20105297438463e-05,0.0,2.016363576173507,0.0,0.22035219916022308,0.0,4.897707965578098e-09,0.0,0.2093375538949836,0.0,3.4457013058341977e-06,0.0,1.7314089579824899e-06,0.0,2.3472964292158855,0.0,7.415028949370106e-08,0.0,2.4883890136390097e-06,0.0,0.04533559172680946,0.0,4.470895537692932e-09,0.0,0.1482856816107583,0.0,2.2850120712349838e-05,0.0,1.0612346548764353,0.0,0.010519378621730132,0.0,5.352344657056689e-09,0.0,8.063598246694597e-08,0.0,37.10720047487889,0.0,1.6018545086516567,0.0,5.916914728931182e-05,0.0,0.00010234670505329034,0.0,3.700329452846466e-05,0.0,0.00042644561894877305,0.0,0.0001180655067283937,0.0,55.79550225099714,0.0
Data,2.35,2.35,0,1,0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydrogen,0.0,0.45,0,1,1,0.0,47.76841720477626,27.810611772990555,0.0,8.564337132630236,0.0,0.0001266102534886883,0.0,3.958184169180166e-05,0.0,6.697173779701896,0.0,0.7271506913743292,0.0,1.08920408415182e-08,0.0,3.2200793387083317,0.0,4.1833041711419265e-06,0.0,3.580037556811311e-06,0.0,2.7871819710801797,0.0,2.557291991136808e-07,0.0,5.01640052996239e-06,0.0,0.04728408109103994,0.0,1.428846552414314e-07,0.0,0.9736425337785545,0.0,3.775670503212068e-05,0.0,6.086890273903583,0.0,0.1287972059839888,0.0,7.099231065351413e-08,0.0,3.9300279724494204e-07,0.0,0.20147492273704398,0.0,12.623039493721464,0.0,4.623997805702832e-05,0.0,2.118146369466381e-05,0.0,7.344174593764751e-06,0.0,0.00023874325473732363,0.0,0.00022487522520510945,0.0,69.86796880307908,0.0
Biogas,0.0,0.2,0,0,1,0.0,42.37021875529696,7.6758841560584194,0.0,8.486625885566033,0.0,3.457037800100898e-05,0.0,3.93029421488784e-05,0.0,1.5586348795040075,0.0,0.16944860233453973,0.0,1.8732475266198e-09,0.0,0.15272964079596357,0.0,2.8096895873169504e-06,0.0,1.315233465918888e-06,0.0,1.4918681582661195,0.0,4.814950205793466e-08,0.0,1.619751641057122e-06,0.0,0.07794301290533263,0.0,4.476178507590022e-09,0.0,0.22861607689636088,0.0,3.308730847783081e-05,0.0,2.5352385998375078,0.0,0.00492590987816828,0.0,5.289230251035008e-09,0.0,5.631789728560974e-08,0.0,2.0639122267212864,0.0,0.9060056101208112,0.0,1.0191537529621269e-05,0.0,3.6931929680931633e-05,0.0,1.384619643825898e-05,0.0,6.532027812111314e-05,0.0,0.00012666231613737137,0.0,25.351944875539168,0.0
Heat,0.01,0.15,0,1,1,0.0,9.739172767642467,5.860050654911021,0.0,1.7297896779632846,0.0,2.668247807300924e-05,0.0,7.995373338928019e-06,0.0,1.4005811744943264,0.0,0.15211664026304283,0.0,1.131916560342512e-09,0.0,0.1247421715884478,0.0,1.0964292585069376e-06,0.0,1.0965285863089783e-06,0.0,0.9412658125254662,0.0,3.508338881036344e-08,0.0,1.0864248290592905e-06,0.0,0.009591706876334866,0.0,4.4637058454927665e-09,0.0,0.05309194433859165,0.0,2.7455599234088548e-06,0.0,0.3711936258450564,0.0,0.0052171847684627185,0.0,2.1407260131228634e-09,0.0,1.2599332761935323e-08,0.0,0.9768441228266405,0.0,0.40898536218041626,0.0,1.9647552076557196e-06,0.0,5.967452143283494e-06,0.0,2.2751619566743457e-06,0.0,2.223778270818362e-05,0.0,4.303123431118525e-05,0.0,12.033500196520697,0.0
